amphoe,code,name,total,f00_09,f10_19,f20_29,f30_39,f40_48,f50_59,f60_69,f70_79,f80_89,f90_98,other,x60_84
เมืองสตูล,1B030,SMI-V กลุ่ม 1,1,0,0,0,1,0,0,0,0,0,0,0,0
เมืองสตูล,1B031,SMI-V กลุ่ม 2,27,4,22,22,7,1,0,0,1,0,1,0,1
เมืองสตูล,1B033,SMI-V กลุ่มอื่นๆ,1,0,1,1,0,0,0,0,0,0,0,0,0
เมืองสตูล,TOTAL,รวม,29,4,23,23,8,1,0,0,1,0,1,0,1
ควนโดน,1B030,SMI-V กลุ่ม 1,8,0,1,0,6,1,1,0,0,0,0,1,5
ควนโดน,1B031,SMI-V กลุ่ม 2,5,0,5,2,0,0,1,0,0,0,0,0,0
ควนโดน,TOTAL,รวม,13,0,6,2,6,1,2,0,0,0,0,1,5
ควนกาหลง,1B030,SMI-V กลุ่ม 1,3,0,3,2,1,0,0,0,0,0,0,0,0
ควนกาหลง,1B031,SMI-V กลุ่ม 2,26,2,19,20,7,1,1,0,0,0,0,0,0
ควนกาหลง,TOTAL,รวม,29,2,22,22,8,1,1,0,0,0,0,0,0
ท่าแพ,1B032,SMI-V กลุ่ม 3,1,0,0,0,0,0,0,0,0,0,0,1,0
ท่าแพ,TOTAL,รวม,1,0,0,0,0,0,0,0,0,0,0,1,0
ละงู,1B030,SMI-V กลุ่ม 1,2,0,0,1,0,0,0,0,0,0,0,1,0
ละงู,1B031,SMI-V กลุ่ม 2,14,0,12,12,1,0,0,0,1,1,0,0,0
ละงู,1B032,SMI-V กลุ่ม 3,1,0,1,1,0,0,0,0,0,0,0,0,0
ละงู,1B033,SMI-V กลุ่มอื่นๆ,1561,0,29,22,42,5,1,0,3,0,1,1473,6
ละงู,TOTAL,รวม,1578,0,42,36,43,5,1,0,4,1,1,1474,6
ทุ่งหว้า,1B030,SMI-V กลุ่ม 1,3,0,0,1,2,1,0,0,1,1,0,0,2
ทุ่งหว้า,1B031,SMI-V กลุ่ม 2,15,1,11,12,2,1,0,0,0,0,1,0,2
ทุ่งหว้า,1B032,SMI-V กลุ่ม 3,3,1,2,2,1,0,0,0,0,0,0,0,1
ทุ่งหว้า,1B033,SMI-V กลุ่มอื่นๆ,2,1,2,1,0,0,0,0,0,0,0,0,1
ทุ่งหว้า,TOTAL,รวม,23,3,15,16,5,2,0,0,1,1,1,0,6
มะนัง,1B031,SMI-V กลุ่ม 2,12,1,7,10,2,1,1,0,0,0,0,0,0
มะนัง,1B032,SMI-V กลุ่ม 3,2,0,2,1,0,0,0,0,0,0,0,0,0
มะนัง,1B033,SMI-V กลุ่มอื่นๆ,1,0,1,1,0,0,0,0,0,0,0,0,0
มะนัง,TOTAL,รวม,15,1,10,12,2,1,1,0,0,0,0,0,0
