amphoe,facility,col1,col2,col3,col4,col5,col6,col7,col8,col9
เมืองสตูล,09604:โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด,0,0,0,0,0,0,0,0,0
เมืองสตูล,09605:โรงพยาบาลส่งเสริมสุขภาพตำบลควนขัน,0,0,0,0,0,0,0,0,0
เมืองสตูล,09606:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านควน,0,0,0,0,0,0,0,0,0
เมืองสตูล,09607:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านควน ตำบลบ้านควน,0,0,0,0,0,0,0,0,0
เมืองสตูล,09608:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านฉลุง ตำบลฉลุง,0,0,0,0,0,0,0,0,0
เมืองสตูล,09609:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่ง ตำบลฉลุง,0,0,0,0,0,0,0,0,0
เมืองสตูล,09610:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตันหยงกลิงตำบลเกาะสาหร่าย,0,0,0,0,0,0,0,0,0
เมืองสตูล,09611:โรงพยาบาลส่งเสริมสุขภาพตำบลเกาะสาหร่าย,0,0,0,0,0,0,0,0,0
เมืองสตูล,09613:โรงพยาบาลส่งเสริมสุขภาพตำบลตันหยงโป,0,0,0,0,0,0,0,0,0
เมืองสตูล,09614:โรงพยาบาลส่งเสริมสุขภาพตำบลเจ๊ะบิลัง,0,0,0,0,0,0,0,0,0
เมืองสตูล,09615:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปาเต๊ะ ตำบลเจ๊ะบิลัง,0,0,0,0,0,0,0,0,0
เมืองสตูล,09616:โรงพยาบาลส่งเสริมสุขภาพตำบลตำมะลัง,0,0,0,0,0,0,0,0,0
เมืองสตูล,09617:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกาะยาว  ตำบลปูยู,0,0,0,0,0,0,0,0,0
เมืองสตูล,09618:โรงพยาบาลส่งเสริมสุขภาพตำบลปูยู,0,0,0,0,0,0,0,0,0
เมืองสตูล,09619:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ ตำบลควนโพธิ์,0,0,0,0,0,0,0,0,0
เมืองสตูล,09620:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังพะเนียด ตำบลเกตรี,0,0,0,0,0,0,0,0,0
เมืองสตูล,10746:โรงพยาบาลสตูล,27,19,70.37,11,3,4.26,16,16,100
เมืองสตูล,24672:ศูนย์สุขภาพชุมชนศรีพิมาน,0,0,0,0,0,0,0,0,0
เมืองสตูล,77654:โรงพยาบาลส่งเสริมสุขภาพตำบลคลองขุด (สาขา),0,0,0,0,0,0,0,0,0
เมืองสตูล,77708:ศูนย์สุขภาพชุมชนพิมาน,0,0,0,0,0,0,0,0,0
เมืองสตูล,รวม,27,19,70.37,11,3,4.26,16,16,100
ควนโดน,09621:โรงพยาบาลส่งเสริมสุขภาพตำบลควนโดน,0,0,0,0,0,0,0,0,0
ควนโดน,09622:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุบังปะโหลด,0,0,0,0,0,0,0,0,0
ควนโดน,09623:โรงพยาบาลส่งเสริมสุขภาพตำบลย่านซื่อ,0,0,0,0,0,0,0,0,0
ควนโดน,09624:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังประจัน ตำบลวังประจัน,0,0,0,0,0,0,0,0,0
ควนโดน,11402:โรงพยาบาลควนโดน,13,5,38.46,13,5,13,0,0,0
ควนโดน,รวม,13,5,38.46,13,5,13,0,0,0
ควนกาหลง,09625:โรงพยาบาลส่งเสริมสุขภาพตำบลควนกาหลง,0,0,0,0,0,0,0,0,0
ควนกาหลง,09626:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านควนบ่อทอง ตำบลทุ่งนุ้ย,0,0,0,0,0,0,0,0,0
ควนกาหลง,09627:โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งนุ้ย,0,0,0,0,0,0,0,0,0
ควนกาหลง,09628:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผัง 34  ตำบลอุใดเจริญ,0,0,0,0,0,0,0,0,0
ควนกาหลง,09629:โรงพยาบาลส่งเสริมสุขภาพตำบลอุใดเจริญ อำเภอควนกาหลง,0,0,0,0,0,0,0,0,0
ควนกาหลง,11403:โรงพยาบาลควนกาหลง,26,18,69.23,11,3,4.33,15,15,100
ควนกาหลง,14096:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกะทูน-พิปูนล้นเกล้า,0,0,0,0,0,0,0,0,0
ควนกาหลง,14097:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเหนือคลอง  ตำบลควนกาหลง,0,0,0,0,0,0,0,0,0
ควนกาหลง,รวม,26,18,69.23,11,3,4.33,15,15,100
ท่าแพ,09630:โรงพยาบาลส่งเสริมสุขภาพตำบลแป-ระ,0,0,0,0,0,0,0,0,0
ท่าแพ,09631:โรงพยาบาลส่งเสริมสุขภาพตำบลสาคร,0,0,0,0,0,0,0,0,0
ท่าแพ,09632:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทางยาง ตำบลสาคร,0,0,0,0,0,0,0,0,0
ท่าแพ,09633:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแป-ระใต้,0,0,0,0,0,0,0,0,0
ท่าแพ,11404:โรงพยาบาลท่าแพ,0,0,0,0,0,0,0,0,0
ท่าแพ,14098:โรงพยาบาลส่งเสริมสุขภาพตำบลท่าเรือ,1,0,0,1,0,0,0,0,0
ท่าแพ,24058:ศูนย์สุขภาพชุมชนตำบลท่าแพ,0,0,0,0,0,0,0,0,0
ท่าแพ,รวม,1,0,0,1,0,0,0,0,0
ละงู,09634:โรงพยาบาลส่งเสริมสุขภาพตำบลละงู,0,0,0,0,0,0,0,0,0
ละงู,09635:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยไทร ตำบลละงู,0,0,0,0,0,0,0,0,0
ละงู,09636:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านในเมือง ตำบลละงู,0,0,0,0,0,0,0,0,0
ละงู,09637:โรงพยาบาลส่งเสริมสุขภาพตำบลเขาขาว,0,0,0,0,0,0,0,0,0
ละงู,09638:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบ่อเจ็ดลูก,0,0,0,0,0,0,0,0,0
ละงู,09639:โรงพยาบาลส่งเสริมสุขภาพตำบลปากน้ำ,1216,0,0,1216,0,0,0,0,0
ละงู,09640:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งไหม้  ตำบลน้ำผุด,344,0,0,344,0,0,0,0,0
ละงู,09641:โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำผุด,0,0,0,0,0,0,0,0,0
ละงู,09642:โรงพยาบาลส่งเสริมสุขภาพตำบลแหลมสน,0,0,0,0,0,0,0,0,0
ละงู,11405:โรงพยาบาลละงู,21,8,38.1,17,5,13.13,4,3,75
ละงู,22015:โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตันหยงละไน้ ตำบลแหลมสน,0,0,0,0,0,0,0,0,0
ละงู,77707:ศูนย์สุขภาพชุมชนกำแพง,0,0,0,0,0,0,0,0,0
ละงู,รวม,1581,8,0.51,1577,5,988.13,4,3,75
