area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสุรา(F10.xx),0,79,3,3.8,4,5.06,6,7.59,0,0,6,7.59,0,0,5,6.33,10,12.66,0,0,0,0,5,6.33,52,65.82,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสุรา(F10.xx),0,3,1,33.33,1,33.33,0,0,0,0,0,0,0,0,1,33.33,1,33.33,0,0,0,0,0,0,2,66.67,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx),0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพฝิ่นและอนุพันธ์ของฝิ่น(F11.xx),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพกัญชา(F12.xx),0,56,21,37.5,24,42.86,3,5.36,0,0,3,5.36,0,0,4,7.14,32,57.14,0,0,0,0,0,0,0,0,2,3.57,38,67.86
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยากล่อมประสาทและยานอนหลับ(F13.xx),0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.33,0,0,1,33.33,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยากล่อมประสาทและยานอนหลับ(F13.xx),0,4,0,0,0,0,1,25,0,0,1,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพโคเคน(F14.xx),0,2,1,50,1,50,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx),0,594,219,36.87,263,44.28,43,7.24,3,0.51,41,6.9,6,1.01,42,7.07,295,49.66,0,0,1,0.17,1,0.17,1,0.17,1,0.17,36,6.06
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสารกระตุ้นระบบประสาทอื่นรวมทั้งกาแฟ(F15.xx),0,46,3,6.52,12,26.09,7,15.22,1,2.17,6,13.04,0,0,5,10.87,18,39.13,0,0,0,0,0,0,1,2.17,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลอนประสาท(F16.xx),0,3,1,33.33,1,33.33,2,66.67,0,0,2,66.67,0,0,0,0,0,0,0,0,1,33.33,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลอนประสาท(F16.xx),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาสูบ(F17.xx),0,95,5,5.26,5,5.26,1,1.05,0,0,1,1.05,0,0,1,1.05,3,3.16,0,0,0,0,0,0,1,1.05,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาสูบ(F17.xx),0,3,0,0,0,0,1,33.33,0,0,1,33.33,1,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลายขนานและสารออกฤทธิ์ต่อจิตประสาทอื่น(F19.xx),0,658,191,29.03,239,36.32,29,4.41,2,0.3,27,4.1,7,1.06,88,13.37,439,66.72,0,0,2,0.3,0,0,3,0.46,0,0,28,4.26
ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพยาหลายขนานและสารออกฤทธิ์ต่อจิตประสาทอื่น(F19.xx),0,31,2,6.45,5,16.13,4,12.9,0,0,4,12.9,1,3.23,9,29.03,12,38.71,0,0,0,0,0,0,2,6.45,0,0,1,3.23
รวม,0,1585,447,28.2,555,35.02,97,6.12,6,0.38,92,5.8,16,1.01,155,9.78,817,51.55,0,0,5,0.32,6,0.38,62,3.91,3,0.19,103,6.5
