area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55
0-4 ปี,157,91,248,0,0,0,0,1,0,1,0.4,1,0,1,0.4,0,0,0,0,2,0,2,0.81,1,0,1,0.4,0,1,1,0.4,1,0,1,0.4,143,80,223,89.92,8,3,11,4.44,0,0,0,0,0,2,2,0.81,3,1,4,1.61
5-9 ปี,310,96,406,1,0,1,0.25,0,0,0,0,0,0,0,0,1,1,2,0.49,21,14,35,8.62,0,1,1,0.25,0,0,0,0,19,6,25,6.16,148,56,204,50.25,192,46,238,58.62,0,0,0,0,1,0,1,0.25,10,3,13,3.2
10-14 ปี,282,234,516,2,2,4,0.78,13,2,15,2.91,1,2,3,0.58,20,95,115,22.29,45,98,143,27.71,4,12,16,3.1,0,1,1,0.19,38,22,60,11.63,119,32,151,29.26,160,37,197,38.18,0,0,0,0,2,14,16,3.1,18,9,27,5.23
15-19 ปี,257,316,573,2,1,3,0.52,75,4,79,13.79,24,6,30,5.24,48,160,208,36.3,45,114,159,27.75,11,15,26,4.54,1,2,3,0.52,16,11,27,4.71,13,6,19,3.32,29,8,37,6.46,0,0,0,0,6,12,18,3.14,45,33,78,13.61
20-24 ปี,264,192,456,6,2,8,1.75,123,8,131,28.73,46,9,55,12.06,25,110,135,29.61,46,58,104,22.81,6,13,19,4.17,0,0,0,0,9,0,9,1.97,9,0,9,1.97,12,0,12,2.63,0,0,0,0,0,6,6,1.32,18,10,28,6.14
25-29 ปี,424,227,651,8,4,12,1.84,220,20,240,36.87,141,21,162,24.88,32,95,127,19.51,47,74,121,18.59,11,17,28,4.3,2,1,3,0.46,5,2,7,1.08,2,1,3,0.46,1,2,3,0.46,0,2,2,0.31,2,8,10,1.54,16,17,33,5.07
30-34 ปี,574,247,821,14,2,16,1.95,266,13,279,33.98,230,19,249,30.33,45,102,147,17.9,69,89,158,19.24,16,16,32,3.9,0,1,1,0.12,3,1,4,0.49,1,0,1,0.12,2,1,3,0.37,0,0,0,0,3,6,9,1.1,18,18,36,4.38
35-39 ปี,554,305,859,14,4,18,2.1,255,13,268,31.2,236,39,275,32.01,38,127,165,19.21,63,102,165,19.21,20,26,46,5.36,1,0,1,0.12,2,2,4,0.47,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0.7,18,17,35,4.07
40-44 ปี,460,325,785,11,1,12,1.53,157,7,164,20.89,207,41,248,31.59,27,125,152,19.36,72,113,185,23.57,27,42,69,8.79,2,0,2,0.25,0,1,1,0.13,0,0,0,0,1,1,2,0.25,0,1,1,0.13,0,4,4,0.51,26,19,45,5.73
45-49 ปี,337,352,689,7,0,7,1.02,98,5,103,14.95,158,44,202,29.32,39,127,166,24.09,55,152,207,30.04,17,48,65,9.43,3,0,3,0.44,3,1,4,0.58,1,0,1,0.15,1,0,1,0.15,0,0,0,0,2,2,4,0.58,7,10,17,2.47
50-54 ปี,274,366,640,6,3,9,1.41,49,0,49,7.66,106,37,143,22.34,34,125,159,24.84,61,155,216,33.75,22,66,88,13.75,1,0,1,0.16,1,2,3,0.47,0,1,1,0.16,1,1,2,0.31,0,0,0,0,3,1,4,0.63,16,9,25,3.91
55-59 ปี,210,371,581,8,7,15,2.58,31,2,33,5.68,54,44,98,16.87,41,129,170,29.26,55,136,191,32.87,19,72,91,15.66,0,0,0,0,0,1,1,0.17,0,1,1,0.17,0,1,1,0.17,0,0,0,0,0,0,0,0,12,6,18,3.1
60-64 ปี,190,364,554,7,10,17,3.07,36,1,37,6.68,29,38,67,12.09,37,106,143,25.81,38,136,174,31.41,36,94,130,23.47,0,0,0,0,1,0,1,0.18,0,0,0,0,0,1,1,0.18,1,0,1,0.18,2,0,2,0.36,11,5,16,2.89
65-69 ปี,149,301,449,12,18,29,6.46,23,0,23,5.12,15,18,33,7.35,37,113,150,33.41,39,91,130,28.95,28,80,108,24.05,0,1,1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,2
70-74 ปี,118,235,353,10,21,31,8.78,5,1,6,1.7,11,9,20,5.67,17,59,76,21.53,36,87,123,34.84,47,68,115,32.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.28,2,3,5,1.42
75-79 ปี,95,193,288,16,38,54,18.75,2,1,3,1.04,6,14,20,6.94,11,40,51,17.71,24,49,73,25.35,35,56,91,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.35,0,0,0,0,0,0,0,0,0,2,2,0.69
80-84 ปี,47,135,182,11,30,41,22.53,2,0,2,1.1,0,7,7,3.85,7,24,31,17.03,11,37,48,26.37,14,34,48,26.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.55,0,0,0,0,0,1,1,0.55,0,0,0,0
85-89 ปี,39,77,116,14,20,34,29.31,0,0,0,0,0,3,3,2.59,4,17,21,18.1,9,12,21,18.1,10,30,40,34.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.86
90-94 ปี,11,22,33,5,10,15,45.45,0,0,0,0,0,0,0,0,0,2,2,6.06,0,4,4,12.12,6,6,12,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.03
95-99 ปี,3,5,8,2,3,5,62.5,0,0,0,0,0,0,0,0,0,1,1,12.5,0,0,0,0,1,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100 ปีขึ้นไป,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
คำนวนอายุไม่ได้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
รวม,4755,4454,9208,156,176,331,3.59,1356,77,1433,15.56,1265,351,1616,17.55,463,1558,2021,21.95,738,1521,2259,24.53,331,697,1028,11.16,10,7,17,0.18,98,49,147,1.6,436,177,613,6.66,408,102,510,5.54,1,3,4,0.04,24,60,84,0.91,227,166,393,4.27
