area,col1,col2,col3,col4,col5,col6,col7,col8
1.0,0,0,173,201,374,318,438,756
1.1,0,0,79,184,263,178,400,578
2.0,0,0,1613,85,1698,4030,225,4255
2.1,0,0,91,4,95,226,8,234
2.2,0,0,62,0,62,135,0,135
2.3,0,0,731,52,783,1555,135,1690
2.4,0,0,90,3,93,197,7,204
2.6,0,0,766,26,792,1951,70,2021
3.0,0,0,1237,335,1572,3840,1197,5037
3.1,0,0,979,243,1222,3238,947,4185
4.0,0,0,496,1685,2181,1610,5127,6737
4.1,0,0,73,114,187,284,418,702
4.2,0,0,426,1574,2000,1329,4707,6036
5.0,0,0,762,1598,2360,1921,3869,5790
5.1,0,0,109,235,344,254,605,859
5.2,0,0,25,58,83,49,108,157
6.0,0,0,310,620,930,540,1054,1594
7.0,0,0,8,8,16,16,14,30
7.1,0,0,3,2,5,5,5,10
8.0,0,0,115,59,174,225,136,361
8.1,0,0,132,70,202,253,161,414
9.0,0,0,490,195,685,902,304,1206
9.1,0,0,194,75,269,282,109,391
9.2,0,0,135,24,159,376,64,440
10.0,0,0,529,129,658,1332,299,1631
10.1,0,0,499,112,611,1228,268,1496
11.0,0,0,1,1,2,2,1,3
12.0,0,0,21,69,90,22,73,95
13.0,0,0,229,179,408,233,191,424
รวม,0,0,10378,7940,18318,26531,20940,47471
