area,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103
0-4 ปี,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-9 ปี,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-14 ปี,3,38,41,1,18,19,46.34,1,10,11,26.83,0,0,0,0,0,1,1,2.44,0,6,6,14.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,9.76,0,2,2,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-19 ปี,11,41,52,4,20,24,46.15,0,15,15,28.85,0,0,0,0,0,0,0,0,1,0,1,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7.69,0,1,1,1.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.92,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.92,0,0,0,0
20-24 ปี,1,23,24,0,8,8,33.33,1,9,10,41.67,0,0,0,0,0,0,0,0,0,3,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-29 ปี,4,21,25,0,5,5,20,1,2,3,12,0,0,0,0,0,4,4,16,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0
30-34 ปี,5,13,18,1,2,3,16.67,0,4,4,22.22,0,0,0,0,0,0,0,0,0,3,3,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,38.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-39 ปี,7,9,16,1,1,2,12.5,0,5,5,31.25,0,0,0,0,0,0,0,0,2,1,3,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,25,0,0,0,0,0,0,0,0,1,0,1,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40-44 ปี,0,9,9,0,2,2,22.22,0,4,4,44.44,0,0,0,0,0,0,0,0,0,2,2,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-49 ปี,2,6,8,0,0,0,0,0,2,2,25,0,0,0,0,0,0,0,0,0,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12.5,0,1,1,12.5,1,0,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12.5,0,0,0,0
