ampur,specialpp_code,specialpp_label,icd_code,icd_category,patient_count
ควนกาหลง,1B030,ทำร้ายตนเองรุนแรง (1B030),F15,ติดยาบ้า Amphetamine (F15),2
ควนกาหลง,1B030,ทำร้ายตนเองรุนแรง (1B030),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",3
ควนกาหลง,1B030,ทำร้ายตนเองรุนแรง (1B030),F29,โรคจิตอื่นๆ (F21-F29),2
ควนกาหลง,1B030,ทำร้ายตนเองรุนแรง (1B030),F32,"โรคซึมเศร้า (F32,F33,F341,F38,F39)",1
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F09,"โรคทางจิตเวชอื่นๆ (F04-F09,F50-F69,F80,F82-F83,F88-F89,F91-F99 ยกเว้น F638,F988)",3
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F10,ติดแอลกอฮอล์ (F10),1
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F12,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",2
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F15,ติดยาบ้า Amphetamine (F15),7
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F19,"ติดสารเสพติดอื่นๆ (F11,F12,F13,F14,F16,F17,F18,F19)",5
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F20,โรคจิตเภท (F20),11
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F21,โรคจิตอื่นๆ (F21-F29),1
ควนกาหลง,1B031,ทำร้ายผู้อื่น/ก่อเหตุรุนแรง (1B031),F23,โรคจิตอื่นๆ (F21-F29),2
