level,source,ampur,HOSCODE,HOSNAME,category,code,typearea,typearea_label,age_band,patient_count
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางการเรียนรู้ (F81),ALL,1,1: ในเขต มีชื่อ+อยู่จริง,0-14 ปี,3
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางการเรียนรู้ (F81),ALL,2,2: ในเขต มีชื่อ แต่ไม่อยู่จริง,0-14 ปี,1
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางการเรียนรู้ (F81),ALL,3,3: อาศัยในเขต ทะเบียนบ้านอยู่นอกเขต,0-14 ปี,2
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางการเรียนรู้ (F81),ALL,4,4: นอกเขต มารับบริการ/เคยอยู่ในเขต,0-14 ปี,26
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางการเรียนรู้ (F81),ALL,4,4: นอกเขต มารับบริการ/เคยอยู่ในเขต,15-29 ปี,3
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางสติปัญญา (F70-F79),ALL,4,4: นอกเขต มารับบริการ/เคยอยู่ในเขต,0-14 ปี,5
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางสติปัญญา (F70-F79),ALL,4,4: นอกเขต มารับบริการ/เคยอยู่ในเขต,15-29 ปี,4
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ความบกพร่องทางสติปัญญา (F70-F79),ALL,4,4: นอกเขต มารับบริการ/เคยอยู่ในเขต,30-44 ปี,1
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,"",อื่นๆ/ไม่ทราบ,15-29 ปี,13
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,"",อื่นๆ/ไม่ทราบ,30-44 ปี,37
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,"",อื่นๆ/ไม่ทราบ,45-59 ปี,9
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,1,1: ในเขต มีชื่อ+อยู่จริง,15-29 ปี,5
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,1,1: ในเขต มีชื่อ+อยู่จริง,30-44 ปี,5
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,1,1: ในเขต มีชื่อ+อยู่จริง,45-59 ปี,2
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,2,2: ในเขต มีชื่อ แต่ไม่อยู่จริง,15-29 ปี,1
category,DIAGNOSIS_OPD,ควนกาหลง,11403,โรงพยาบาลควนกาหลง,ติดยาบ้า Amphetamine (F15),ALL,2,2: ในเขต มีชื่อ แต่ไม่อยู่จริง,60-74 ปี,1
